,owner,fuel,year,selling_price,km_driven,transmission,mileage,engine,max_power,seats
0,First Owner,Diesel,2014,4.5,145500,Manual,23.4,1248,74.0,5
1,Second Owner,Diesel,2014,3.7,120000,Manual,21.14,1498,103.52,5
2,First Owner,Diesel,2010,2.25,127000,Manual,23.0,1396,90.0,5
3,First Owner,Petrol,2007,1.3,120000,Manual,16.1,1298,88.2,5
4,First Owner,Petrol,2017,4.4,45000,Manual,20.14,1197,81.86,5
5,Second Owner,Petrol,2001,0.45,5000,Manual,16.1,796,37.0,4
6,First Owner,Diesel,2011,3.5,90000,Manual,23.59,1364,67.1,5
7,First Owner,Diesel,2013,2.0,169000,Manual,20.0,1399,68.1,5
8,Second Owner,Diesel,2014,5.0,68000,Manual,19.01,1461,108.45,5
9,Second Owner,Petrol,2005,0.92,100000,Manual,17.3,993,60.0,5
10,Second Owner,Diesel,2009,2.8,140000,Manual,19.3,1248,73.9,5
11,Second Owner,Petrol,2009,1.8,90000,Manual,18.9,1061,67.0,5
12,First Owner,Petrol,2016,4.0,40000,Manual,18.15,1198,82.0,5
13,Second Owner,Diesel,2016,7.78,70000,Manual,24.52,1248,88.5,7
14,Second Owner,Diesel,2012,5.0,53000,Manual,23.0,1396,90.0,5
15,Second Owner,Petrol,2002,1.5,80000,Manual,19.7,796,46.3,5
16,First Owner,Diesel,2016,6.8,100000,Manual,22.54,1396,88.73,5
17,Second Owner,Diesel,2011,1.74,100000,Manual,21.0,1461,64.1,5
18,First Owner,Diesel,2017,9.5,50000,Manual,25.5,1498,98.6,5
19,First Owner,Diesel,2015,5.25,40000,Manual,26.59,1248,74.0,5
20,First Owner,Diesel,2012,6.0,72000,Manual,21.5,1248,88.8,5
21,First Owner,Petrol,2018,5.0,35000,Manual,20.3,1199,83.81,5
22,First Owner,Petrol,2016,5.75,45000,Manual,21.4,1197,83.1,5
23,First Owner,Petrol,2017,2.75,28000,Manual,24.7,796,47.3,5
24,First Owner,Diesel,2013,3.0,70000,Manual,18.2,1248,73.8,7
25,First Owner,Petrol,2009,2.2,120000,Manual,18.9,1061,67.0,5
26,First Owner,Petrol,2018,2.54999,25000,Manual,16.8,796,34.2,8
27,First Owner,Diesel,2017,6.7,70000,Manual,24.3,1248,88.5,5
28,Second Owner,Petrol,2012,1.5,35000,Manual,14.0,796,35.0,5
29,First Owner,Petrol,2018,7.3,2388,Manual,18.6,1197,81.83,5
30,First Owner,Diesel,2017,6.5,16200,Manual,24.3,1248,88.5,5
31,First Owner,Petrol,2019,3.66,15000,Manual,23.95,998,67.1,5
32,First Owner,Petrol,2019,11.49,5000,Manual,17.0,1591,121.3,5
33,First Owner,Petrol,2016,1.5,42000,Manual,20.63,1198,67.0,5
34,Second Owner,Diesel,2011,4.25,60000,Manual,13.93,2179,138.03,7
35,First Owner,Petrol,2012,1.5,76000,Manual,16.1,796,37.0,4
36,First Owner,Petrol,2019,21.0,5000,Automatic,16.0,1368,160.77,5
37,First Owner,Diesel,2011,2.65,120000,Manual,21.12,1248,88.8,5
38,First Owner,Diesel,2013,4.25,60000,Manual,21.27,1396,88.76,5
39,Second Owner,Diesel,2015,6.3,147000,Manual,26.59,1248,74.0,5
40,First Owner,Petrol,2019,6.5,30000,Manual,21.4,1197,83.1,5
41,First Owner,Diesel,2016,5.4,40000,Manual,22.0,1498,108.495,5
42,First Owner,Diesel,2015,6.3,135000,Manual,25.1,1498,98.6,5
43,First Owner,Petrol,2018,4.48,30000,Automatic,20.51,998,67.0,5
44,First Owner,Diesel,2017,5.0,80000,Manual,21.66,1498,108.62,5
45,First Owner,Diesel,2016,7.45,70000,Manual,24.3,1248,88.5,5
46,First Owner,Diesel,2019,10.25,9850,Automatic,24.3,1248,88.5,5
47,Second Owner,Petrol,2011,2.35,60000,Manual,20.36,1197,78.9,5
48,First Owner,Diesel,2016,6.3,70000,Manual,25.2,1248,74.0,5
49,Second Owner,Diesel,2015,17.0,78000,Manual,12.55,2982,168.5,7
50,Second Owner,Diesel,2013,4.5,120000,Manual,22.9,1248,74.0,5
51,Second Owner,Petrol,2012,4.5,120000,Manual,16.02,1373,93.7,7
52,First Owner,Diesel,2013,4.5,170000,Manual,20.54,1598,103.6,5
53,First Owner,Diesel,2016,12.0,140000,Manual,12.99,2494,100.6,8
54,First Owner,Diesel,2015,6.1,90000,Manual,22.77,1498,98.59,5
